35 Ave & 37 St	(0, 3)
Franklin Ave & St Marks Ave	(1, 0)
Columbia St & Degraw St	(1, 0)
Sullivan Pl & Bedford Ave	(2, 0)
24 St & 41 Ave	(0, 1)
48 Ave & 5 St	(0, 1)
Verona Pl & Fulton St	(1, 1)
Amsterdam Ave & W 66 St	(1, 1)
Fulton St & Rockwell Pl	(1, 0)
W 106 St & Amsterdam Ave	(1, 0)
Lexington Ave & E 120 St	(1, 0)
E 12 St & 3 Ave	(2, 3)
28 St & 36 Ave	(0, 2)
Vernon Blvd & 41 Rd	(0, 1)
Nassau St & Navy St	(1, 0)
Suydam St & Knickerbocker Ave	(0, 1)
6 St & 7 Ave	(1, 0)
Newton Rd & 44 St	(0, 1)
