Cadman Plaza E & Johnson St	(0, 1)
12 St & 4 Ave	(0, 1)
31 St & 23 Ave	(0, 1)
5 Ave & E 103 St	(0, 1)
Greene Ave & Nostrand Ave	(1, 0)
Henry St & Poplar St	(2, 1)
48 Ave & 30 Pl	(1, 0)
Spruce St & Nassau St	(0, 1)
34 Ave & 38 St	(0, 1)
Union Ave & N 12 St	(1, 0)
Pearl St & Anchorage Pl	(1, 0)
Schermerhorn St & Court St	(1, 1)
Eastern Pkwy & Washington Ave	(1, 1)
Front St & Gold St	(1, 0)
DeKalb Ave & Franklin Ave	(1, 2)
Kane St & Clinton St	(0, 1)
2 Ave & E 104 St	(1, 0)
Marcy Ave & Lafayette Ave	(0, 3)
10 Hudson Yards	(1, 0)
Crescent St & Broadway	(0, 1)
Franklin Ave & St Marks Ave	(1, 0)
St Johns Pl & Washington Ave	(1, 0)
5 St & 51 Ave	(0, 1)
7 St & 3 Ave	(1, 0)
Union St & Nevins St	(1, 0)
W 100 St & Manhattan Ave	(0, 1)
Kent Ave & N 7 St	(1, 2)
Washington Ave & Greene Ave	(0, 1)
East End Ave & E 86 St	(2, 2)
24 St & 41 Ave	(0, 1)
Richardson St & N Henry St	(1, 0)
Devoe St & Lorimer St	(1, 1)
Montrose Ave & Bushwick Ave	(0, 1)
7 St & 5 Ave	(1, 0)
E 118 St & 3 Ave	(1, 0)
27 St & Hunter St	(2, 0)
E 109 St & 3 Ave	(0, 1)
Van Brunt St & Van Dyke St	(1, 1)
Douglass St & 4 Ave	(0, 2)
Willoughby Ave & Hall St	(0, 1)
E 66 St & Madison Ave	(1, 0)
Wyckoff St & Bond St	(0, 1)
E 98 St & Park Ave	(0, 1)
Central Park W & W 96 St	(0, 1)
Greene Ave & Throop Ave	(0, 1)
35 Ave & 10 St	(0, 1)
Adam Clayton Powell Blvd & W 123 St	(0, 1)
14 St & 7 Ave	(0, 1)
Atlantic Ave & Furman St	(2, 0)
