Pike St & Monroe St	(3, 4)
W 87 St & Amsterdam Ave	(3, 0)
Bedford Ave & Bergen St	(5, 1)
34 St & 35 Ave	(2, 0)
W 90 St & Amsterdam Ave	(1, 2)
Fulton St & Clermont Ave	(0, 1)
Central Park North & Adam Clayton Powell Blvd	(0, 2)
Humboldt St & Varet St	(2, 2)
W 42 St & 8 Ave	(3, 5)
W 106 St & Central Park West	(0, 1)
5 Ave & E 103 St	(0, 3)
Washington Park	(2, 5)
Broadway & Moylan Pl	(2, 1)
Smith St & 9 St	(1, 2)
St. Nicholas Ave & W 126 St	(1, 0)
Front St & Gold St	(1, 0)
W 116 St & Broadway	(0, 1)
Columbus Ave & W 72 St	(3, 1)
Willoughby Ave & Walworth St	(3, 5)
Clinton Ave & Flushing Ave	(0, 3)
Cathedral Pkwy & Broadway	(0, 1)
Prospect Pl & Underhill Ave	(0, 2)
5 Ave & E 63 St	(0, 3)
Smith St & 3 St	(1, 0)
E 47 St & 2 Ave	(1, 5)
Franklin Ave & Myrtle Ave	(2, 5)
Court St & State St	(3, 5)
E 106 St & 1 Ave	(0, 2)
Bialystoker Pl & Delancey St	(4, 0)
E 43 St & 2 Ave	(1, 1)
Crescent St & 35 Ave	(1, 0)
E 89 St & York Ave	(1, 1)
Central Park W & W 96 St	(5, 0)
Berkeley Pl & 7 Ave	(2, 3)
Clinton St & Union St	(0, 1)
West Drive & Prospect Park West	(4, 5)
Centre St & Worth St	(1, 0)
Berry St & N 8 St	(2, 3)
Tompkins Ave & Hopkins St	(1, 1)
Douglass St & 3 Ave	(1, 2)
Central Park West & W 100 St	(1, 0)
Cedar St & Myrtle Ave	(1, 0)
Monroe St & Classon Ave	(5, 2)
Lewis Ave & Decatur St	(1, 0)
W 52 St & 5 Ave	(3, 0)
Fulton St & Rockwell Pl	(6, 2)
Union St & 4 Ave	(2, 2)
Pulaski St & Marcus Garvey Blvd	(0, 1)
Pacific St & Classon Ave	(1, 0)
3 Ave & Schermerhorn St	(3, 0)
Atlantic Ave & Furman St	(1, 6)
Clermont Ave & Lafayette Ave	(2, 0)
Richards St & Delavan St	(0, 1)
W 82 St & Central Park West	(0, 3)
Broadway & Roebling St	(3, 3)
Frost St & Meeker Ave	(1, 0)
Schermerhorn St & Court St	(1, 1)
Union St & Nevins St	(1, 4)
Putnam Ave & Throop Ave	(0, 1)
Lafayette Ave & St James Pl	(2, 0)
12 St & 4 Ave	(0, 1)
Broadway & W 51 St	(1, 3)
Columbus Ave & W 95 St	(1, 5)
DeKalb Ave & S Portland Ave	(1, 0)
Myrtle Ave & Lewis Ave	(2, 2)
Bedford Ave & S 9 St	(1, 5)
Wyckoff Av & Jefferson St	(2, 2)
40 Ave & Crescent St	(1, 1)
Amsterdam Ave & W 82 St	(3, 0)
48 Ave & 5 St	(0, 1)
N 15 St & Wythe Ave	(3, 2)
Queens Plaza North & Crescent St	(2, 1)
Court St & Nelson St	(1, 0)
S 4 St & Rodney St	(4, 3)
Columbia St & Lorraine St	(0, 2)
Lafayette Ave & Fort Greene Pl	(2, 3)
Lewis Ave & Madison St	(2, 1)
Front St & Maiden Ln	(2, 2)
Greene Ave & Nostrand Ave	(0, 1)
Degraw St & Hoyt St	(1, 0)
St James Pl & Oliver St	(2, 1)
Douglass St & 4 Ave	(1, 0)
Vernon Blvd & 10 St	(1, 3)
E 102 St & 1 Ave	(1, 1)
Boerum St & Broadway	(1, 0)
Sharon St & Olive St	(2, 0)
E 114 St & 1 Ave	(0, 1)
3 Ave & Carroll St	(2, 0)
35 St & 34 Ave	(0, 1)
Macon St & Nostrand Ave	(1, 1)
Cadman Plaza West & Montague St	(0, 1)
Fulton St & Waverly Ave	(2, 2)
24 St & 41 Ave	(1, 0)
Lenox Ave & W 126 St	(0, 1)
George St & Wilson Ave	(1, 2)
Stagg St & Union Ave	(2, 2)
E 109 St & 3 Ave	(0, 1)
Nostrand Ave & Myrtle Ave	(0, 1)
W 116 St & Amsterdam Ave	(1, 0)
W 113 St & Broadway	(1, 0)
E 48 St & 3 Ave	(0, 1)
W 106 St & Amsterdam Ave	(1, 1)
Jackson Ave & 46 Rd	(1, 0)
E 118 St & 1 Ave	(0, 1)
E 84 St & Park Ave	(1, 1)
Central Park West & W 85 St	(0, 1)
Park Pl & Franklin Ave	(2, 0)
E 30 St & Park Ave S	(0, 1)
E 76 St & Park Ave	(2, 0)
Berkeley Pl & 6 Ave	(1, 0)
5 Ave & E 93 St	(1, 0)
Fulton St & Grand Ave	(2, 0)
28 St & 41 Ave	(1, 2)
Avenue D & E 12 St	(2, 1)
5 St & 51 Ave	(1, 0)
East End Ave & E 86 St	(1, 1)
3 Ave & E 100 St	(0, 1)
Van Brunt St & Wolcott St	(1, 0)
Carroll St & Bond St	(1, 1)
Leonard St & Boerum St	(0, 1)
Lenox Ave & W 111 St	(0, 2)
43 St & Broadway	(1, 0)
Pioneer St & Van Brunt St	(0, 1)
Irving Ave & Jefferson St	(0, 1)
Prospect Pl & 6 Ave	(1, 0)
E 91 St & Park Ave	(0, 1)
White St & Moore St	(0, 1)
Jackson St & Leonard St	(1, 0)
Marcy Ave & Lafayette Ave	(0, 2)
Dean St & 4 Ave	(1, 0)
Myrtle Ave & St Edwards St	(0, 1)
Putnam Ave & Nostrand Ave	(0, 1)
E 128 St & Madison Ave	(0, 1)
Marcus Garvey Blvd & Macon St	(1, 0)
Pierrepont St & Monroe Pl	(0, 1)
31 St & Northern Blvd	(0, 1)
West End Ave & W 107 St	(1, 0)
9 St & 44 Rd	(1, 0)
4 Ave & 9 St	(1, 0)
Wyckoff St & Bond St	(0, 1)
