Washington Park	(1, 3) 
Franklin Ave & St Marks Ave	(0, 1) 
W 89 St & Columbus Ave	(0, 3) 
E 16 St & 5 Ave	(9, 3) 
Broadway & W 60 St	(12, 26) 
11 Ave & W 41 St	(9, 10) 
Broadway & E 14 St	(27, 23) 
Greenwich Ave & Charles St	(8, 7) 
Broadway & W 29 St	(15, 8) 
E 11 St & 2 Ave	(8, 7) 
W 16 St & 8 Ave	(8, 9) 
Baltic St & 5 Ave	(2, 1) 
10 Hudson Yards	(0, 2) 
Steinway St & 23 Ave	(0, 1) 
W 106 St & Central Park West	(2, 0) 
N 11 St & Kent Ave	(3, 3) 
8 Ave & W 31 St	(24, 28) 
Franklin Ave & Empire Blvd	(0, 1) 
Lawrence St & Willoughby St	(7, 5) 
E 48 St & 3 Ave	(1, 7) 
E 76 St & Park Ave	(10, 5) 
W 56 St & 10 Ave	(3, 11) 
Cambridge Pl & Gates Ave	(2, 4) 
Driggs Ave & N 9 St	(3, 2) 
Lefferts Pl & Franklin Ave	(1, 1) 
E 4 St & 2 Ave	(15, 10) 
Sullivan St & Washington Sq	(5, 4) 
Lexington Ave & E 29 St	(7, 11) 
Richardson St & N Henry St	(0, 3) 
Leonard St & Maujer St	(0, 3) 
William St & Pine St	(2, 7) 
Court St & State St	(3, 3) 
Washington St & Gansevoort St	(16, 17) 
Vesey Pl & River Terrace	(303, 298) 
Broadway & W 122 St	(1, 0) 
Coffey St & Conover St	(0, 1) 
LaGuardia Pl & W 3 St	(16, 11) 
E 51 St & 1 Ave	(9, 7) 
Monroe St & Tompkins Ave	(1, 0) 
Bergen St & Smith St	(6, 2) 
Adam Clayton Powell Blvd & W 126 St	(1, 0) 
5 St & 51 Ave	(1, 0) 
Great Jones St	(22, 32) 
Center Blvd & 51 Ave	(2, 3) 
Carroll St & Columbia St	(2, 1) 
Dean St & Franklin Ave	(0, 4) 
Kingston Ave & Herkimer St	(2, 0) 
