Henry St & W 9 St	(0, 1)
3 Ave & E 72 St	(1, 1)
31 St & Broadway	(3, 1)
47 Ave & Skillman Ave	(1, 1)
Lenox Ave & W 111 St	(0, 1)
Fulton St & Utica Ave	(1, 3)
Sharon St & Olive St	(2, 0)
Mt Morris Park W & W 120 St	(0, 1)
4 Ave & 9 St	(1, 0)
44 Dr & Jackson Ave	(0, 2)
Center Blvd & 51 Ave	(1, 1)
Queens Plaza North & Crescent St	(1, 1)
Graham Ave & Herbert St	(0, 2)
Berry St & N 8 St	(2, 2)
36 Ave & 31 St	(0, 1)
Underhill Ave & Lincoln Pl	(1, 0)
Devoe St & Morgan Ave	(1, 0)
3 Ave & E 100 St	(0, 1)
Graham Ave & Withers St	(1, 2)
2 Ave & E 104 St	(0, 1)
Leonard St & Boerum St	(0, 1)
W 100 St & Manhattan Ave	(0, 1)
Dean St & Franklin Ave	(1, 1)
Willoughby Ave & Walworth St	(1, 0)
W 87 St & Amsterdam Ave	(1, 0)
State St & Smith St	(0, 1)
Lenox Ave & W 115 St	(0, 1)
Steinway St & 28 Ave	(0, 1)
Myrtle Ave & Marcy Ave	(2, 0)
Verona Pl & Fulton St	(0, 1)
W 107 St & Columbus Ave	(1, 0)
Lenox Ave & W 126 St	(0, 1)
2 Ave & 36 St - Citi Bike HQ at Industry City	(0, 1)
W 92 St & Broadway	(0, 1)
E 68 St & Madison Ave	(0, 1)
31 Ave & 34 St	(1, 0)
E 55 St & Lexington Ave	(1, 0)
Smith St & 3 St	(1, 0)
Graham Ave & Conselyea St	(1, 0)
NYCBS Depot - GOW	(1, 0)
Cadman Plaza E & Johnson St	(0, 1)
Park Pl & Franklin Ave	(1, 0)
Bayard St & Leonard St	(0, 3)
